content	created_date	created_datetime	is_rumour	misinformation	which_rumour
"MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings
http://t.co/3NfiSwTwPt http://t.co/V5tIbCQgj9"	2014-10-22	2014-10-22 17:03:05+00:00	rumour	0	ottawashooting
Our thoughts and prayers go out to Nathan Cirillo who died today in Ottawa while protecting his country at age 24 http://t.co/PfwasSALPX	2014-10-22	2014-10-22 22:59:49+00:00	rumour	0	ottawashooting
#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.	2014-10-22	2014-10-22 17:28:56+00:00	rumour	0	ottawashooting
"Hero. @affanchowdhry: Kevin Vickers, head of security in parliament, being credited for taking down shooter #Ottawa http://t.co/rVYetE0KYq"""	2014-10-22	2014-10-22 16:49:28+00:00	rumour	0	ottawashooting
Canadian authorities have given name of suspect in Ottawa attacks to U.S. feds; ask for FBI assistance: Sr U.S. law enforcement official	2014-10-22	2014-10-22 17:51:42+00:00	rumour	0	ottawashooting
Ottawa Police report a third shooting at Rideau Centre, no reports of injuries.	2014-10-22	2014-10-22 15:44:35+00:00	rumour	1	ottawashooting
This is the soldier who died today at the #Ottawa War Memorial. His name is Cpl. Nathan Cirillo. #RIP #OttawaStrong http://t.co/vhPBPq5yYk	2014-10-22	2014-10-22 22:22:43+00:00	rumour	0	ottawashooting
One person shot outside Centre Block, a second wounded inside the building in Parliament Hill shooting http://t.co/zng0g0aelU	2014-10-22	2014-10-22 14:13:18+00:00	rumour	0	ottawashooting
These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting #StandforCanada http://t.co/7KoW2xATKG	2014-10-22	2014-10-22 19:19:15+00:00	rumour	1	ottawashooting
#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma	2014-10-22	2014-10-22 14:08:18+00:00	rumour	0	ottawashooting
Police seem relaxed, suggesting all hostages are out and gunman no longer a threat http://t.co/xheuclMCmj #sydneysiege	2014-12-15	2014-12-15 15:29:23+00:00	rumour	0	sydneysiege
Uber intros surge pricing in downtown Sydney during hostage siege http://t.co/XWGe9MpUzU http://t.co/cwhIiozFNr	2014-12-15	2014-12-15 02:13:21+00:00	rumour	0	sydneysiege
FIRST PHOTOS: Hostage pressed against a window. #SydneySiege http://t.co/MOy8zCHp5a	2014-12-15	2014-12-15 00:44:13+00:00	rumour	0	sydneysiege
Several people being held hostage at a Sydney cafe. Australian tv showing people with  hands up against a window: http://t.co/AD2PR4OPFq	2014-12-14	2014-12-14 23:37:11+00:00	rumour	0	sydneysiege
#pmharper tweets 'Canada's thoughts and prayers are with our Australian friends.' 13-40 hostages held in cafe in #Sydney. #SydneySiege	2014-12-15	2014-12-15 01:42:13+00:00	rumour	1	sydneysiege
MORE: Police confirm 3 hostages escape Sydney cafe, unknown number remain inside http://t.co/pcAt91LIdS #Sydneysiege	2014-12-15	2014-12-15 05:44:51+00:00	rumour	0	sydneysiege
The Sydney cafe siege may be part of a larger plot. @Y7News #MartinPlaceSiege http://t.co/f2aTNEpjmh http://t.co/DE4IBxv73K	2014-12-15	2014-12-15 01:59:54+00:00	rumour	1	sydneysiege
BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag http://t.co/zmSo3ARDVs http://t.co/HFW40OyVUz	2014-12-15	2014-12-15 00:06:09+00:00	rumour	0	sydneysiege
DETAILS: The hostage site is Lindt Chocolat Cafe near #Sydney Harbor http://t.co/1ZlzKDjvSf http://t.co/7u8EFUwCey	2014-12-15	2014-12-15 00:51:57+00:00	rumour	1	sydneysiege
Full statement from PM Abbott on #Sydneysiege #MartinPlace #Lindt. http://t.co/7ilKZGNBDz	2014-12-15	2014-12-15 00:34:42+00:00	rumour	0	sydneysiege
POLICE MOVE IN: Police confirm live ammunition used in Martin Place #sydneysiege	2014-12-15	2014-12-15 15:16:01+00:00	rumour	0	sydneysiege
Police confirm that #sydneysiege is finally over. Two people reportedly injured after suffering gunshot wounds http://t.co/nsprnSYTDT	2014-12-15	2014-12-15 15:52:04+00:00	rumour	0	sydneysiege
Prime Minister Tony Abbott's statement on the #SydneySiege. Updates: http://t.co/EgWHAnjO35 http://t.co/AGhyN5Qkei	2014-12-15	2014-12-15 00:36:49+00:00	rumour	0	sydneysiege
#BREAKING: At least two people have died following the #SydneySiege. 5 people are being treated by paramedics.	2014-12-15	2014-12-15 15:44:22+00:00	rumour	0	sydneysiege
Statement from Prime Minister Tony Abbott on Sydney hostage situation. http://t.co/MHkNRZFQWB	2014-12-15	2014-12-15 00:34:18+00:00	rumour	0	sydneysiege
We understand there are two gunmen and up to a dozen hostages inside the cafe under siege at Sydney.. ISIS flags remain on display #7News	2014-12-14	2014-12-14 23:21:49+00:00	rumour	1	sydneysiege
Local media: 3 people appear to escape from Martin Place, Sydney, café, amid hostage situation - @ABCNews http://t.co/N5mmnilz4Z	2014-12-15	2014-12-15 04:46:18+00:00	rumour	0	sydneysiege
ISIS -holding a Cafe hostage in Sydney- forcing Hostages to press ISIS flags against the Windows #DramaAlert HOT! http://t.co/XwXLvvWc76	2014-12-14	2014-12-14 23:48:48+00:00	rumour	1	sydneysiege
BREAKING  @SkyBusiness: freed hostage borne high from #sydneysiege w/c.4 paramedic teams on the scene http://t.co/DKBQI5tx4B ( carsonscottLI	2014-12-15	2014-12-15 15:21:53+00:00	rumour	0	sydneysiege
Ray Hadley says he spoke with hostage, and could hear the gunman in the background barking orders and demanding to go live on air	2014-12-15	2014-12-15 02:33:22+00:00	rumour	0	sydneysiege
BREAKING UPDATE: Gunman says four devices are located around Sydney. Security response underway. Police calling for calm. 9News	2014-12-15	2014-12-15 01:22:33+00:00	rumour	0	sydneysiege
#BREAKING: Police have confirmed that the #SydneySiege is over. #9News	2014-12-15	2014-12-15 15:40:07+00:00	rumour	0	sydneysiege
"Uber says it has hiked prices in Sydney to ""encourage more drivers to come online &amp; pick up passengers."" http://t.co/MCJ0rMSXPc #SydneySiege"	2014-12-15	2014-12-15 02:53:55+00:00	rumour	0	sydneysiege
BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of #ISIS. #SydneySiege	2014-12-15	2014-12-15 00:45:30+00:00	rumour	1	sydneysiege
"#SydneySiege: Latest video of hostages escaping.
https://t.co/eFfgSbt2hO"	2014-12-15	2014-12-15 15:29:24+00:00	rumour	0	sydneysiege
Sydney airspace wasn't closed. A second terror suspect wasn't arrested. Myths around #sydneysiege debunked. http://t.co/yTLKLUKnFd	2014-12-15	2014-12-15 12:01:49+00:00	rumour	1	sydneysiege
This is shot that captures the #sydneysiege: sheer terror/relief of escaped hostages, incredible work of @nswpolice http://t.co/iCffJZ9NuZ	2014-12-15	2014-12-15 06:37:37+00:00	rumour	0	sydneysiege
"NSW Police confirm 5 hostages have emerged from #sydneysiege and they are negotiating: ""It might take a bit of time"" http://t.co/le9r9REzdR"	2014-12-15	2014-12-15 07:53:51+00:00	rumour	0	sydneysiege
A man believed to be the gunman filmed wearing a black headband inside the cafe http://t.co/7ixIlhiVXZ http://t.co/dOW5zfm1uU	2014-12-15	2014-12-15 01:38:48+00:00	rumour	0	sydneysiege
#SYDNEYSIEGE: Hostage-takers ‘have suicide belts, demand radio convo with #Abbott’ – report http://t.co/1ZlzKDjvSf http://t.co/7Jej7i4SlO	2014-12-15	2014-12-15 03:11:36+00:00	rumour	0	sydneysiege
Black Islamic flag being held up in window of #lindt chocolate store in Martin Place, Sydney - hostages inside. http://t.co/fAV7PEuY6P	2014-12-14	2014-12-14 23:22:59+00:00	rumour	0	sydneysiege
UPDATE: Hostages fleeing #Sydney cafe held by Iranian gunman as explosions, gunshots are heard: http://t.co/WrPVZSJHlX	2014-12-15	2014-12-15 15:22:49+00:00	rumour	0	sydneysiege
Police: Negotiators are now in contact with armed hostage-taker in Sydney situation; motive remains unknown - http://t.co/mp18E4DdjW	2014-12-15	2014-12-15 05:09:30+00:00	rumour	0	sydneysiege
TV channels have chosen not to show videos of hostages relaying #sydneysiege gunman's demands. http://t.co/5jtd36wFOU http://t.co/oKJPRv40l3	2014-12-15	2014-12-15 12:59:21+00:00	rumour	0	sydneysiege
Reports on @channeltennews #sydneysiege gunman wants #ISIL flag delivered to cafe and he also wants to speak to PM or people will be killed.	2014-12-15	2014-12-15 06:40:34+00:00	rumour	0	sydneysiege
Geoblock lifted on #ABCNews24. Streaming coverage of the Martin Place siege in Sydney here  http://t.co/HvQuvP4SIb.	2014-12-14	2014-12-14 23:53:16+00:00	rumour	0	sydneysiege
Several more hostages flee from cafe under siege in Sydney, local media say http://t.co/YjuafDPNEY	2014-12-15	2014-12-15 15:13:02+00:00	rumour	0	sydneysiege
Sydney Opera House evacuated, concourse deserted http://t.co/NMbuLCimKV #SydneySiege (via @cberkman) http://t.co/QYlOU0REVw	2014-12-15	2014-12-15 00:25:57+00:00	rumour	0	sydneysiege
Up to 20 held hostage in Sydney Lindt Cafe siege http://t.co/4KisV2PKI5 http://t.co/qIaa63SCQk	2014-12-15	2014-12-15 00:31:48+00:00	rumour	1	sydneysiege
UPDATE: Total of 5 people have been able to get out of Sydney cafe during hostage situation: http://t.co/mp18E4DdjW http://t.co/n5vhI5DsZg	2014-12-15	2014-12-15 06:12:52+00:00	rumour	0	sydneysiege
BREAKING: Three hostages appear to have escaped the Sydney cafe where a siege remains ongoing. http://t.co/akfqcnbofX #sydneyseige	2014-12-15	2014-12-15 05:09:22+00:00	rumour	0	sydneysiege
SYDNEY SIEGE: Gunman forces hostages to hold up ISIS flag in window http://t.co/9K3XXEiSFa http://t.co/cATxCjYXpy	2014-12-14	2014-12-14 23:27:39+00:00	rumour	1	sydneysiege
UPDATE: 13 hostages inside Sydney coffee shop near Sydney Opera House; Abbott will deliver a statement shortly. #ISISAttacks #sydneyseige	2014-12-15	2014-12-15 00:47:39+00:00	rumour	1	sydneysiege
Central Sydney shut down by police amid ongoing hostage situation: http://t.co/TvAlMmqFxP	2014-12-15	2014-12-15 00:38:04+00:00	rumour	0	sydneysiege
"US evacuated Consulate in Sydney after #sydneysiege. Emergency warning to U.S. citizens urging them to ""maintain high level of vigilance""."	2014-12-15	2014-12-15 01:43:29+00:00	rumour	0	sydneysiege
Live Updates: Siege in Sydney Cafe http://t.co/aNIHU5DlLj	2014-12-15	2014-12-15 00:12:18+00:00	rumour	0	sydneysiege
"Gunman's headband reads, ""We are your soldiers O Muhammad"".
#MartinPlace #SydneySiege http://t.co/ggUgP4kV9c"	2014-12-15	2014-12-15 03:30:57+00:00	rumour	0	sydneysiege
UPDATE: 13 people being held hostage in #Sydney shop, Opera House evacuated after suspicious package found: reports http://t.co/n4D3yGjso9	2014-12-15	2014-12-15 01:07:38+00:00	rumour	1	sydneysiege
#BREAKING Hostages held inside Sydney cafe, Islamic flag held up	2014-12-14	2014-12-14 23:50:42+00:00	rumour	0	sydneysiege
We can see people coming out a firedoor near the Lindt cafe to waiting police. 2-3 people. Hard to see. #sydneysiege	2014-12-15	2014-12-15 04:37:43+00:00	rumour	0	sydneysiege
"SYDNEY HOSTAGE-TAKER
- Man Monis, 49
- Originally from Iran
- Self-styled sheikh
- Accused of sexually assaulting 7 women
DEVELOPING.."	2014-12-15	2014-12-15 13:56:21+00:00	rumour	0	sydneysiege
Five hostages have escaped the besieged Lindt Cafe in #Sydney | Our latest update: http://t.co/XJVICQdu0y http://t.co/aNGBZsCmdQ	2014-12-15	2014-12-15 07:20:30+00:00	rumour	0	sydneysiege
"Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated"" http://t.co/439C1MkRWf"	2014-12-15	2014-12-15 02:35:35+00:00	rumour	0	sydneysiege
#BREAKING Reports two customers and an employee have escaped the #SydneySiege http://t.co/fSLeobzxHh	2014-12-15	2014-12-15 04:38:18+00:00	rumour	0	sydneysiege
BREAKING: Police enter #Lindt cafe, hostages flee http://t.co/iuaLgRi7jj  #sydneysiege http://t.co/hXZ8EffN3f	2014-12-15	2014-12-15 15:21:50+00:00	rumour	0	sydneysiege
Hostages in Sydney cafe made to hold up Islamic flags http://t.co/I1PsUPekkB	2014-12-15	2014-12-15 00:05:17+00:00	rumour	0	sydneysiege
DEVELOPING: Gunman Takes Hostages In Sydney Cafe, 'ISIS' Flags Being Held Against Window - http://t.co/gDkig15YuN http://t.co/suVfoMmBwM	2014-12-14	2014-12-14 23:22:41+00:00	rumour	0	sydneysiege
Haron Monis,Hostage-taker in #Sydney: Fled #Iran 96,suspect in ex-wife killing,46 sex assaults http://t.co/3caiB9OnFg http://t.co/vfOXjtrGgZ	2014-12-15	2014-12-15 15:33:15+00:00	rumour	0	sydneysiege
Paramedics are currently carrying out a number of hostages in #MartinPl. #SydneySiege #9News	2014-12-15	2014-12-15 15:19:37+00:00	rumour	0	sydneysiege
BREAKING: Live coverage of hostage situation unfolding in Sydney's Martin Place http://t.co/TTG8ye71Zg http://t.co/iTwradHTb3	2014-12-14	2014-12-14 23:16:34+00:00	rumour	0	sydneysiege
#BREAKING: Hostages are being held and a siege is taking place at Sydney's Lindt Chocolat Cafe in Martin Place.	2014-12-14	2014-12-14 23:12:32+00:00	rumour	0	sydneysiege
Five Hostages Escape Sydney Cafe Siege — Live Updates From @BuzzFeedOz http://t.co/aFHirytbFH http://t.co/BiLJuBBc5R	2014-12-15	2014-12-15 06:46:10+00:00	rumour	0	sydneysiege
Police stand guard as hostages are held in a cafe in Sydney. Follow AFP's LIVE REPORT: http://t.co/yKWnSmShSY http://t.co/wyjunPbDfo	2014-12-15	2014-12-15 01:39:37+00:00	rumour	1	sydneysiege
Sydney siege: police enter cafe as hostages flee the scene, gunfire heard, reports of an injured person – live http://t.co/c4xbud6a3m	2014-12-15	2014-12-15 15:25:15+00:00	rumour	0	sydneysiege
Hostage taker in Sydney cafe demands ISIS flag and call with Australian PM, Sky News reports. http://t.co/a2vgrn30Xh #sydneysiege	2014-12-15	2014-12-15 07:19:05+00:00	rumour	0	sydneysiege
Uber Sydney trips from CBD will be free for riders. Higher rates are still in place to encourage drivers to get into the CBD.	2014-12-15	2014-12-15 03:15:44+00:00	rumour	0	sydneysiege
Escaped #SydneySiege hostage, Elly Chen, a top student and skilled sportswoman http://t.co/cOyz8N2IMb http://t.co/48YdSm7lJB	2014-12-15	2014-12-15 14:48:08+00:00	rumour	0	sydneysiege
#sydneysiege is over. 2 confirmed dead, #PrayForSydney #PrayForSydneyHostages #Sydney #hostages	2014-12-15	2014-12-15 15:51:09+00:00	rumour	0	sydneysiege
According to Seven, this is a picture of the gunman http://t.co/3Zor3gSOSO	2014-12-15	2014-12-15 00:44:51+00:00	rumour	0	sydneysiege
Approximately 50 hostages may be held captive at #Lindt café – local reports http://t.co/1ZlzKDjvSf #sydneysiege http://t.co/NvLr5kyQG8	2014-12-15	2014-12-15 01:53:38+00:00	rumour	1	sydneysiege
Flag in window of Sydney Lindt cafe not an ISIS flag. Reads: ‘There is no God but Allah and Muhammad is the messenger of God’ (@liztilley84)	2014-12-14	2014-12-14 23:45:51+00:00	rumour	0	sydneysiege
"The #Ferguson police chief just basically confirmed #MikeBrown was gunned to death for the crime of walking in the street?

Horrific."	2014-08-15	2014-08-15 19:27:20+00:00	rumour	0	ferguson
It appears that #Ferguson PD are trying to assassinate Mike Brown's character after literally assassinating Mike Brown.	2014-08-15	2014-08-15 15:44:19+00:00	rumour	0	ferguson
"#Ferguson PD charged #HenryDavis w/ ""destruction of property"" for bleeding on their uniforms: http://t.co/qQWPClW3tG http://t.co/5U3nMoMiF2"	2014-08-15	2014-08-15 20:26:04+00:00	rumour	0	ferguson
#Ferguson chief let most of day go by b4 disclosing (after repeated Qs) that cop who killed #MikeBrown knew nothing about robbery. DANGER	2014-08-15	2014-08-15 21:12:05+00:00	rumour	0	ferguson
Darren Wilson is a six year veteran of the #Ferguson Police and had no disciplinary actions against him.	2014-08-15	2014-08-15 13:58:42+00:00	rumour	0	ferguson
"Oh. So NOW the #Ferguson police chief says the cop didn't know about the robbery when he stopped #MikeBrown. The kid was ""jaywalking""? BS!"	2014-08-15	2014-08-15 20:27:19+00:00	rumour	0	ferguson
New link: #Ferguson police release video they say shows a robbery involving #MichaelBrown: http://t.co/GMDuU33oed http://t.co/RaAWvjcWNu	2014-08-15	2014-08-15 18:23:42+00:00	rumour	0	ferguson
St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about 1 a.m. Man in critical. #ferguson	2014-08-13	2014-08-13 07:23:17+00:00	rumour	0	ferguson
to be clear: an unarmed teenager POSSIBLY stealing a box of cigars does not warrant being shot to death by the police. #Ferguson	2014-08-15	2014-08-15 20:23:02+00:00	rumour	0	ferguson
The day #Ferguson cops told a dirty, bloody lie (via @thedailybeast): http://t.co/gnAlHsS7tu http://t.co/vpqnDDVd2u	2014-08-15	2014-08-15 16:35:10+00:00	rumour	0	ferguson
In what world do you let a cop who killed someone leave town? http://t.co/T0A3rn2PeL #Ferguson	2014-08-15	2014-08-15 19:59:13+00:00	rumour	0	ferguson
The other day I asked a manager at the #Ferguson Market if police had requested surveillance video. She said no.	2014-08-15	2014-08-15 14:58:11+00:00	rumour	0	ferguson
Name of #Ferguson cop is expected to be released by 9 ET, police chief says: http://t.co/NhMsTgfzYi (J.B. Forbes, AP) http://t.co/7LU1iT1EKB	2014-08-15	2014-08-15 12:31:13+00:00	rumour	0	ferguson
How many white celebrities have been CAUGHT shoplifting and end up dead in streets? I'll wait. #Ferguson	2014-08-15	2014-08-15 17:04:15+00:00	rumour	0	ferguson
Reminder: Forget the robbery, forget the minor looting. NOTHING justifies militarized police pointing sniper rifles at journalists #Ferguson	2014-08-15	2014-08-15 15:30:08+00:00	rumour	0	ferguson
A woman in #Ferguson was shot in head last night and released this selfie. Conflicting reports of how it happened: http://t.co/25WX6EkquG	2014-08-13	2014-08-13 12:17:18+00:00	rumour	0	ferguson
Remarkably, despite the military-style police presence in #Ferguson, a known killer was able to skip town http://t.co/lDGjp6Wt1j	2014-08-15	2014-08-15 22:48:46+00:00	rumour	0	ferguson
"That was very ""SLICK"" of the Police Chief to create a narrative that #MikeBrown was a ""suspect"" in a robbery!  #Ferguson"	2014-08-15	2014-08-15 13:53:48+00:00	rumour	0	ferguson
BREAKING NEWS: According to documents released to the press, #MikeBrown was connected to an earlier robbery #Ferguson http://t.co/LuCR9711S0	2014-08-15	2014-08-15 14:01:31+00:00	rumour	0	ferguson
Photos of alleged robbery involving Michael Brown in #Ferguson (via police) http://t.co/gr83XTGO1t http://t.co/7V34OtGYcn	2014-08-15	2014-08-15 14:55:50+00:00	rumour	0	ferguson
Question for #Ferguson police chief? If OFFICER DARREN WILSON was in pursuit of a robbery suspect, why tell kids to get out of the road? LIE	2014-08-15	2014-08-15 13:53:41+00:00	rumour	0	ferguson
If there is surveillance of a robbery why release stills and not the video itself? #Ferguson	2014-08-15	2014-08-15 14:15:41+00:00	rumour	0	ferguson
Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson	2014-08-15	2014-08-15 21:18:58+00:00	rumour	0	ferguson
"If you can justify shooting an unarmed teenager by saying ""he might have been committing a misdemeanor"" you are a fucking asshole. #Ferguson"	2014-08-15	2014-08-15 17:27:21+00:00	rumour	0	ferguson
Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/Mck8FYYOpp	2014-08-15	2014-08-15 20:39:00+00:00	rumour	0	ferguson
If we shot everyone in the street for stealing, imagine the carnage on Wall St. #mikebrown #ferguson	2014-08-15	2014-08-15 16:34:40+00:00	rumour	0	ferguson
"Possible ""robbery"" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson"	2014-08-15	2014-08-15 15:48:35+00:00	rumour	0	ferguson
"All weekend ppl will be talking about the ""robbery"" instead of the shooting bc #Ferguson PD didn't release any info about the shooting."	2014-08-15	2014-08-15 17:04:12+00:00	rumour	0	ferguson
Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.	2014-08-13	2014-08-13 01:36:45+00:00	rumour	0	ferguson
The press conf makes #Ferguson PD look like they've gone from stonewalling to counter punching. We give up a name, we drag his thru the mud.	2014-08-15	2014-08-15 21:30:15+00:00	rumour	0	ferguson
What's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson	2014-08-15	2014-08-15 19:29:46+00:00	rumour	0	ferguson
Police in #Ferguson plan to release name of officer who shot unarmed teen Michael Brown: http://t.co/oqns3yVfTx http://t.co/9fb09WUtdN	2014-08-15	2014-08-15 13:20:23+00:00	rumour	0	ferguson
#Ferguson police: Officer involved in fatal shooting of Michael Brown didn't know he was suspect in alleged robbery. http://t.co/L6bieyrz2a	2014-08-15	2014-08-15 20:28:31+00:00	rumour	0	ferguson
Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6	2014-08-10	2014-08-10 11:28:53+00:00	rumour	0	ferguson
In 2009, #Ferguson police beat a man and charged him for bleeding on them: http://t.co/KzF6Z1l0UK	2014-08-15	2014-08-15 18:54:08+00:00	rumour	0	ferguson
"Nearly 7k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop.
Where's Al, Jesse?
#tcot #ferguson"	2014-08-13	2014-08-13 17:44:47+00:00	rumour	0	ferguson
"Shoot unarmed kid.
Conceal evidence.
Impose martial law.
Harass reporters.
Smear the victim.
Worst. Police. Ever.
#Ferguson #MikeBrown"	2014-08-15	2014-08-15 15:11:32+00:00	rumour	0	ferguson
Update: #Ferguson police release stills from convenience store footage showing robbery http://t.co/rl0RgIphUp http://t.co/PHUofG7mJR	2014-08-15	2014-08-15 14:21:05+00:00	rumour	0	ferguson
URGENT: Darren Wilson is the police officer who shot Mike Brown http://t.co/RZ1eYcKpiY #Ferguson http://t.co/D2HyKchWvq	2014-08-15	2014-08-15 13:49:15+00:00	rumour	0	ferguson
Here's the police report. Somehow #Ferguson cops valued a box of Swishers at nearly $50. Time to stop smokin I guess http://t.co/8ZkvrHkApc	2014-08-15	2014-08-15 14:38:34+00:00	rumour	0	ferguson
Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson	2014-08-15	2014-08-15 14:30:12+00:00	rumour	0	ferguson
#MikeBrown wanted to walk down the street. And he is dead. And the #Ferguson PD is using his silence in death to make him a criminal.	2014-08-15	2014-08-15 14:01:22+00:00	rumour	0	ferguson
Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed. http://t.co/bk6jFFM7jj	2014-08-13	2014-08-13 01:27:45+00:00	rumour	0	ferguson
"Hobby Lobby asks #Ferguson PD for clarification: ""We thought chopping off someone's hand was the maximum penalty for shoplifting"""	2014-08-15	2014-08-15 18:02:55+00:00	rumour	0	ferguson
"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in #Ferguson"	2014-08-15	2014-08-15 14:00:21+00:00	rumour	0	ferguson
Mike Brown was staying with his grandmother for the summer, who lived in the community. #Ferguson	2014-08-10	2014-08-10 01:30:14+00:00	rumour	0	ferguson
Is #Prince in #Toronto? Rumours fly of surprise show... @masseyhall http://t.co/ySchlys6DA	2014-11-04	2014-11-04 19:26:58+00:00	rumour	1	prince-toronto
Prince fans lining up at Massey Hall. Wristbands for surprise show reportedly on sale at 6pm. #Toronto http://t.co/uZBPGlfyce	2014-11-04	2014-11-04 15:14:57+00:00	rumour	1	prince-toronto
Prince not playing Massey Hall tonight, promoter says http://t.co/clVHvM07kx http://t.co/IADirsFOOC	2014-11-04	2014-11-04 21:00:25+00:00	rumour	1	prince-toronto
In response to inquiries, we can confirm that Prince will not be performing at @masseyhall tonight.	2014-11-04	2014-11-04 19:42:09+00:00	rumour	1	prince-toronto
Secret Prince show rumored for Toronto tonight http://t.co/GE2DFcFKLJ	2014-11-04	2014-11-04 19:15:06+00:00	rumour	1	prince-toronto
Is it true? Prince rumoured to be performing surprise show in Toronto http://t.co/EZiiLVkXyb	2014-11-04	2014-11-04 17:31:34+00:00	rumour	1	prince-toronto
"PRINCE IN TORONTO TONIGHT:
@3RDEYEGIRL tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on!"	2014-11-04	2014-11-04 07:48:43+00:00	rumour	1	prince-toronto
Prince rumoured to be performing in surprise show in Toronto http://t.co/PEbtcmybqc http://t.co/HOoFI33eV2	2014-11-04	2014-11-04 15:19:33+00:00	rumour	1	prince-toronto
People talking about stupid shit like government corruption and harassment when Prince is in Toronto smh	2014-11-04	2014-11-04 17:40:35+00:00	rumour	1	prince-toronto
Prince is playing a secret show in Toronto tonight.  I will also be playing a secret show tonight involving pizza &amp; netflix bingeing.	2014-11-04	2014-11-04 15:43:49+00:00	rumour	1	prince-toronto
Clearly prince is having a show in #toronto @TorontoComms #tdot #gta #prince #concert http://t.co/e7oktlGd1v	2014-11-04	2014-11-04 18:03:39+00:00	rumour	1	prince-toronto
OMG. #Prince rumoured to be performing in Toronto today. Exciting!	2014-11-04	2014-11-04 18:03:11+00:00	rumour	1	prince-toronto
Coup in #Russia? Good article by @Forbes. http://t.co/aaNCpb0blW #RamzanKadyrov #Putin #putindead http://t.co/OfivdTlTbO	2015-03-13	2015-03-13 07:01:45+00:00	rumour	0	putinmissing
Putin reappears on television amid rumours his 'girlfriend' is about 2 give birth http://t.co/yJuN1F0QXE http://t.co/B7FXmo03jK @Scofield_Fx	2015-03-14	2015-03-14 18:31:50+00:00	rumour	0	putinmissing
Was Vladimir Putin netralized by an internal coup? Or maybe he's vacationing in Harper's closet:  http://t.co/tlr3cFLEyv #LookingForNarnia	2015-03-16	2015-03-16 00:01:22+00:00	rumour	0	putinmissing
Coup? RT @jimgeraghty: Rumors all Russian military attaches at embassy in London have returned to Moscow: http://t.co/e8ZoFxtfHX	2015-03-14	2015-03-14 14:42:03+00:00	rumour	0	putinmissing
Very good on #Putin coup by @CoalsonR: Three Scenarios For A Succession In Russia http://t.co/fotdqxDfEV via @RFERL http://t.co/RdA0giizeb	2015-03-14	2015-03-14 19:36:27+00:00	rumour	0	putinmissing
Hoppla! @L0gg0l: Swiss Rumors: Putin absence due to girlfriend Alina giving birth in Ticino http://t.co/vZnGDH1Qys http://t.co/5TvXSdvd1H	2015-03-13	2015-03-13 09:52:10+00:00	rumour	0	putinmissing
Unformed Russian Embassy staff in London have left for Russia  Rumours Putin HAS DIED! http://t.co/zSIV8w6FJ2 via @ShaunyNews #PutinDead?	2015-03-14	2015-03-14 17:26:00+00:00	rumour	1	putinmissing
Putin reappears on TV amid claims he is unwell and under threat of coup http://t.co/YZln23EUx1 http://t.co/ZsAnBa5gz3	2015-03-13	2015-03-13 22:41:35+00:00	rumour	0	putinmissing
This appears to be the original source of the Putin/Kabayeva/Swiss clinic rumour http://t.co/bKfJTSGdca	2015-03-13	2015-03-13 10:05:06+00:00	rumour	0	putinmissing
